country,city,date,rain_sum
GB,London,2021-06-24,0.4
GB,London,2021-06-25,2.2
GB,London,2021-06-26,0.1
GB,London,2021-06-27,19.2
GB,London,2021-06-28,3.0
GB,London,2021-06-29,1.2
GB,London,2021-06-30,0.4
GB,London,2021-07-01,0.1
GB,London,2021-07-02,0.9
GB,London,2021-07-03,2.6
GB,London,2021-07-04,5.0
GB,London,2021-07-05,6.6
GB,London,2021-07-06,5.9
GB,London,2021-07-07,2.4
GB,London,2021-07-08,2.0
GB,London,2021-07-09,0.6
GB,London,2021-07-10,1.5
GB,London,2021-07-11,1.7
GB,London,2021-07-12,16.0
GB,London,2021-07-13,1.6
GB,London,2021-07-14,0.3
GB,London,2021-07-15,0.0
GB,London,2021-07-16,0.0
GB,London,2021-07-17,0.0
GB,London,2021-07-18,0.0
GB,London,2021-07-19,0.3
GB,London,2021-07-20,0.0
GB,London,2021-07-21,0.6
GB,London,2021-07-22,0.0
GB,London,2021-07-23,0.0
GB,London,2021-07-24,14.3
GB,London,2021-07-25,5.0
GB,London,2021-07-26,1.7
GB,London,2021-07-27,3.4
GB,London,2021-07-28,6.1
GB,London,2021-07-29,0.2
GB,London,2021-07-30,2.6
GB,London,2021-07-31,5.7
GB,London,2021-08-01,4.2
GB,London,2021-08-02,0.6
GB,London,2021-08-03,0.6
GB,London,2021-08-04,0.7
GB,London,2021-08-05,2.1
GB,London,2021-08-06,8.1
GB,London,2021-08-07,3.7
GB,London,2021-08-08,4.6
GB,London,2021-08-09,10.1
GB,London,2021-08-10,0.1
GB,London,2021-08-11,0.0
GB,London,2021-08-12,0.4
GB,London,2021-08-13,0.3
GB,London,2021-08-14,0.0
GB,London,2021-08-15,1.2
GB,London,2021-08-16,0.3
GB,London,2021-08-17,0.6
GB,London,2021-08-18,0.7
GB,London,2021-08-19,0.5
GB,London,2021-08-20,0.4
GB,London,2021-08-21,6.1
GB,London,2021-08-22,9.0
GB,London,2021-08-23,0.1
GB,London,2021-08-24,0.2
GB,London,2021-08-25,0.0
GB,London,2021-08-26,0.0
GB,London,2021-08-27,0.0
GB,London,2021-08-28,0.3
GB,London,2021-08-29,0.0
GB,London,2021-08-30,0.4
GB,London,2021-08-31,0.2
GB,London,2021-09-01,0.1
GB,London,2021-09-02,0.0
GB,London,2021-09-03,0.2
GB,London,2021-09-04,0.4
GB,London,2021-09-05,0.0
GB,London,2021-09-06,0.0
GB,London,2021-09-07,0.0
GB,London,2021-09-08,0.9
GB,London,2021-09-09,2.6
GB,London,2021-09-10,3.4
GB,London,2021-09-11,0.1
GB,London,2021-09-12,0.2
GB,London,2021-09-13,0.0
GB,London,2021-09-14,14.7
