city,found name,geometry
Munich,Munich,POINT (11.5258 48.15457)
London,London,POINT (-0.144055305103075 51.4893338084221)
Kyoto,Kyoto,POINT (135.755607113242 35.0210405141115)
Oslo,Oslo,POINT (10.775728858116 59.9723978340626)
Seattle,Seattle,POINT (-122.313062421052 47.6189685612917)
